CustomerID,Age,Income,Experience,PurchaseAmount,Purchased,IncomePerExperience,PurchaseCategory,AgeGroup
C001,25.0,30000.0,2,1200.0,0,15000.0,Low,Young
C002,30.0,45000.0,5,2500.0,1,9000.0,Medium,Adult
C003,35.0,55000.0,8,3200.0,1,6875.0,Medium,Adult
C004,40.0,80000.0,12,5000.0,1,6666.666666666667,Medium,Adult
C005,45.0,100000.0,15,7000.0,0,6666.666666666667,High,Senior
C006,30.0,45000.0,5,2500.0,1,9000.0,Medium,Adult
C007,28.0,38000.0,3,1800.0,0,12666.666666666666,Low,Young
C008,50.0,120000.0,20,8500.0,1,6000.0,High,Senior
C009,35.0,55000.0,7,3000.0,1,7857.142857142857,Medium,Adult
C010,38.0,70000.0,10,3000.0,0,7000.0,Medium,Adult
